Date,DayOfWeek,Source,Destination,DepartureTime,SeatsAvailable,Bookings,Price,Holiday,Weather,EventNearby
2025-06-13,Friday,Bangalore,Chennai,21:00,40,15,626,No,Clear,Yes
2025-04-19,Saturday,Bangalore,Chennai,06:00,40,26,713,No,Rainy,No
2025-06-16,Monday,Pune,Mumbai,09:00,40,10,644,No,Cloudy,No
2025-02-10,Monday,Mumbai,Hyderabad,12:00,40,28,628,Yes,Cloudy,Yes
2025-06-04,Wednesday,Chennai,Bangalore,21:00,40,22,530,No,Clear,No
2025-05-22,Thursday,Chennai,Pune,18:00,40,23,574,Yes,Clear,Yes
2025-01-26,Sunday,Mumbai,Hyderabad,15:00,40,24,691,No,Cloudy,Yes
2025-03-10,Monday,Bangalore,Hyderabad,18:00,40,18,653,No,Clear,No
2025-06-26,Thursday,Pune,Bangalore,21:00,40,15,577,No,Clear,Yes
2025-03-10,Monday,Bangalore,Hyderabad,18:00,40,30,714,No,Cloudy,Yes
2025-04-28,Monday,Hyderabad,Pune,09:00,40,30,659,No,Rainy,No
2025-05-30,Friday,Mumbai,Hyderabad,09:00,40,12,653,No,Clear,No
2025-01-13,Monday,Bangalore,Hyderabad,21:00,40,15,627,Yes,Rainy,No
2025-04-30,Wednesday,Pune,Hyderabad,18:00,40,13,639,No,Clear,No
2025-05-18,Sunday,Chennai,Pune,06:00,40,33,749,No,Clear,No
2025-03-09,Sunday,Pune,Bangalore,18:00,40,32,655,No,Rainy,Yes
2025-02-11,Tuesday,Pune,Chennai,18:00,40,25,586,No,Clear,Yes
2025-01-15,Wednesday,Hyderabad,Chennai,06:00,40,27,731,No,Clear,No
2025-02-02,Sunday,Hyderabad,Mumbai,18:00,40,23,708,Yes,Rainy,No
2025-06-26,Thursday,Hyderabad,Pune,15:00,40,24,550,No,Rainy,No
2025-03-05,Wednesday,Hyderabad,Chennai,12:00,40,18,651,Yes,Rainy,Yes
2025-01-16,Thursday,Hyderabad,Chennai,06:00,40,18,661,No,Clear,No
2025-05-05,Monday,Hyderabad,Bangalore,21:00,40,15,579,No,Rainy,No
2025-02-18,Tuesday,Bangalore,Chennai,21:00,40,33,578,No,Cloudy,No
2025-06-22,Sunday,Bangalore,Chennai,15:00,40,21,540,No,Clear,Yes
2025-04-19,Saturday,Hyderabad,Pune,15:00,40,27,560,No,Clear,No
2025-01-13,Monday,Pune,Chennai,06:00,40,30,604,No,Clear,Yes
2025-04-13,Sunday,Bangalore,Hyderabad,15:00,40,40,708,Yes,Cloudy,Yes
2025-06-28,Saturday,Pune,Mumbai,09:00,40,30,741,Yes,Clear,No
2025-03-22,Saturday,Bangalore,Chennai,18:00,40,27,552,No,Rainy,Yes
2025-06-02,Monday,Bangalore,Hyderabad,15:00,40,31,723,Yes,Rainy,Yes
2025-05-30,Friday,Pune,Hyderabad,12:00,40,16,513,No,Rainy,No
2025-06-21,Saturday,Chennai,Mumbai,12:00,40,31,573,No,Clear,Yes
2025-05-18,Sunday,Hyderabad,Pune,09:00,40,21,577,No,Clear,No
2025-02-10,Monday,Mumbai,Hyderabad,18:00,40,28,616,No,Rainy,No
2025-06-19,Thursday,Bangalore,Hyderabad,12:00,40,18,562,Yes,Clear,No
2025-06-04,Wednesday,Hyderabad,Pune,09:00,40,18,503,No,Cloudy,No
2025-01-24,Friday,Mumbai,Hyderabad,06:00,40,21,694,Yes,Clear,No
2025-04-24,Thursday,Pune,Mumbai,18:00,40,35,714,Yes,Clear,No
2025-01-10,Friday,Chennai,Hyderabad,15:00,40,37,676,Yes,Cloudy,No
2025-02-23,Sunday,Hyderabad,Chennai,12:00,40,33,604,No,Cloudy,No
2025-03-02,Sunday,Hyderabad,Bangalore,15:00,40,37,773,Yes,Rainy,No
2025-03-05,Wednesday,Chennai,Hyderabad,21:00,40,20,617,Yes,Clear,No
2025-03-31,Monday,Chennai,Hyderabad,09:00,40,20,697,Yes,Clear,No
2025-03-13,Thursday,Chennai,Mumbai,21:00,40,9,511,No,Rainy,No
2025-02-15,Saturday,Pune,Hyderabad,06:00,40,39,706,Yes,Cloudy,No
2025-06-05,Thursday,Pune,Chennai,15:00,40,37,585,No,Clear,Yes
2025-05-14,Wednesday,Pune,Bangalore,12:00,40,27,704,No,Rainy,No
2025-02-01,Saturday,Chennai,Pune,21:00,40,27,567,No,Cloudy,No
2025-02-19,Wednesday,Mumbai,Pune,21:00,40,19,598,No,Clear,No
2025-05-21,Wednesday,Bangalore,Pune,12:00,40,18,603,No,Rainy,No
2025-04-24,Thursday,Hyderabad,Mumbai,21:00,40,37,777,Yes,Clear,Yes
2025-03-02,Sunday,Chennai,Hyderabad,09:00,40,32,666,Yes,Clear,Yes
2025-06-11,Wednesday,Pune,Bangalore,21:00,40,14,637,No,Cloudy,No
2025-06-26,Thursday,Bangalore,Chennai,15:00,40,8,503,No,Rainy,No
2025-02-01,Saturday,Mumbai,Bangalore,15:00,40,32,716,No,Rainy,No
2025-05-10,Saturday,Mumbai,Pune,09:00,40,34,633,No,Cloudy,No
2025-06-13,Friday,Chennai,Mumbai,21:00,40,22,579,No,Cloudy,Yes
2025-03-27,Thursday,Chennai,Bangalore,09:00,40,35,591,Yes,Cloudy,No
2025-04-17,Thursday,Mumbai,Hyderabad,18:00,40,28,737,No,Clear,Yes
2025-05-30,Friday,Bangalore,Mumbai,15:00,40,30,674,Yes,Cloudy,Yes
2025-02-26,Wednesday,Chennai,Mumbai,15:00,40,40,785,Yes,Cloudy,No
2025-02-12,Wednesday,Mumbai,Bangalore,18:00,40,31,561,No,Cloudy,No
2025-01-22,Wednesday,Mumbai,Bangalore,15:00,40,21,588,Yes,Cloudy,No
2025-03-28,Friday,Mumbai,Hyderabad,15:00,40,33,703,No,Clear,No
2025-01-14,Tuesday,Chennai,Hyderabad,21:00,40,15,634,Yes,Rainy,Yes
2025-02-09,Sunday,Hyderabad,Bangalore,15:00,40,21,570,No,Rainy,No
2025-04-05,Saturday,Hyderabad,Chennai,09:00,40,19,642,No,Clear,No
2025-06-23,Monday,Mumbai,Pune,21:00,40,32,738,Yes,Rainy,No
